GEOID,GEOid2,GEO.display-label,Estimate; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Total population,Percent; RACE - One race - White
25025000100,1400000US25025000100,"Census Tract 1, Suffolk County, Massachusetts",28.9,4185,58.6
25025000201,1400000US25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",28.8,3553,82.9
25025000202,1400000US25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",29,3697,69.7
25025000301,1400000US25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",31.3,2590,79.7
25025000302,1400000US25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",30.5,3110,71.5
25025000401,1400000US25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",31,5127,69.1
25025000402,1400000US25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",28.9,3277,73.1
25025000502,1400000US25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",22.3,5904,84.2
25025000503,1400000US25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",28.4,2076,78.5
25025000504,1400000US25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",30.5,4516,80.1
25025000601,1400000US25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",29,3522,70.1
25025000602,1400000US25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",27.6,3575,58.8
25025000701,1400000US25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",26.7,3923,65.9
25025000703,1400000US25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",24.4,1958,61.8
25025000704,1400000US25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",27.1,4520,54.1
25025000802,1400000US25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",26.7,6570,63.8
25025000803,1400000US25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",21.3,6351,66.9
25025010103,1400000US25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",19.9,3695,58.6
25025010104,1400000US25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",24.4,4837,72.3
25025010203,1400000US25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",27.7,5058,74.9
25025010204,1400000US25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",21.7,3277,64.2
25025010300,1400000US25025010300,"Census Tract 103, Suffolk County, Massachusetts",20.2,5360,74.4
25025010403,1400000US25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",32.2,2907,63.9
25025010404,1400000US25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",21,5076,65.1
25025010405,1400000US25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",20.6,6015,70
25025010408,1400000US25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",28.7,1410,68.7
25025010500,1400000US25025010500,"Census Tract 105, Suffolk County, Massachusetts",27,3311,67.9
25025010600,1400000US25025010600,"Census Tract 106, Suffolk County, Massachusetts",44.2,3146,75.9
25025010701,1400000US25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",30.6,2793,85.6
25025010702,1400000US25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",35.8,2486,92.6
25025010801,1400000US25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",35.2,3253,91.7
25025010802,1400000US25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",34.8,3162,89
25025020101,1400000US25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",35,4418,93.8
25025020200,1400000US25025020200,"Census Tract 202, Suffolk County, Massachusetts",29.2,3782,83.4
25025020301,1400000US25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",33.5,2360,71.9
25025020302,1400000US25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",28.9,1011,97.5
25025020303,1400000US25025020303,"Census Tract 203.03, Suffolk County, Massachusetts",33.4,3702,67
25025030100,1400000US25025030100,"Census Tract 301, Suffolk County, Massachusetts",30.2,2186,96.3
25025030200,1400000US25025030200,"Census Tract 302, Suffolk County, Massachusetts",27.9,1686,95.9
25025030300,1400000US25025030300,"Census Tract 303, Suffolk County, Massachusetts",40.1,5562,81.1
25025030400,1400000US25025030400,"Census Tract 304, Suffolk County, Massachusetts",30.4,2846,93.3
25025030500,1400000US25025030500,"Census Tract 305, Suffolk County, Massachusetts",31.8,2665,91.1
25025040100,1400000US25025040100,"Census Tract 401, Suffolk County, Massachusetts",34.9,2502,96.7
25025040200,1400000US25025040200,"Census Tract 402, Suffolk County, Massachusetts",30.4,1920,46.8
25025040300,1400000US25025040300,"Census Tract 403, Suffolk County, Massachusetts",33.1,4176,78.6
25025040401,1400000US25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",36.7,2610,82.8
25025040600,1400000US25025040600,"Census Tract 406, Suffolk County, Massachusetts",32.4,2973,89.3
25025040801,1400000US25025040801,"Census Tract 408.01, Suffolk County, Massachusetts",36.9,4133,57.4
25025050101,1400000US25025050101,"Census Tract 501.01, Suffolk County, Massachusetts",31.6,5450,58.8
25025050200,1400000US25025050200,"Census Tract 502, Suffolk County, Massachusetts",32.2,6263,55.4
25025050300,1400000US25025050300,"Census Tract 503, Suffolk County, Massachusetts",36.5,2143,60.4
25025050400,1400000US25025050400,"Census Tract 504, Suffolk County, Massachusetts",35.2,2556,76.6
25025050500,1400000US25025050500,"Census Tract 505, Suffolk County, Massachusetts",31.1,2481,76.2
25025050600,1400000US25025050600,"Census Tract 506, Suffolk County, Massachusetts",34.7,2540,58.9
25025050700,1400000US25025050700,"Census Tract 507, Suffolk County, Massachusetts",31.3,5476,46.3
25025050901,1400000US25025050901,"Census Tract 509.01, Suffolk County, Massachusetts",32.7,4698,56.2
25025051000,1400000US25025051000,"Census Tract 510, Suffolk County, Massachusetts",33.3,4460,69.3
25025051101,1400000US25025051101,"Census Tract 511.01, Suffolk County, Massachusetts",38.6,7121,69.2
25025051200,1400000US25025051200,"Census Tract 512, Suffolk County, Massachusetts",39.5,2592,78.8
25025060101,1400000US25025060101,"Census Tract 601.01, Suffolk County, Massachusetts",31.2,3604,94.7
25025060200,1400000US25025060200,"Census Tract 602, Suffolk County, Massachusetts",32,2414,95.6
25025060301,1400000US25025060301,"Census Tract 603.01, Suffolk County, Massachusetts",31.6,3499,98.5
25025060400,1400000US25025060400,"Census Tract 604, Suffolk County, Massachusetts",31.7,5554,93.7
25025060501,1400000US25025060501,"Census Tract 605.01, Suffolk County, Massachusetts",29.9,4136,93.6
25025060600,1400000US25025060600,"Census Tract 606, Suffolk County, Massachusetts",33.8,2891,85.8
